name,org_name,starts_on,ends_on,location,categories,theme,description
Beta Theta Pi Formal,Beta Theta Pi,2025-03-22T23:00:00+00:00,2025-03-23T02:00:00+00:00,Ink N Ivy,Greek Life Event; Social Programmatic,Social,Beta Theta Pi's Annual Formal Dance will be held at the always popular Ink N Ivy in Downtown Greenville on March 22nd from 7 pm to 10 pm.
Freshmen vs. Juniors Pickleball Tournament,Student Government Association,2025-03-22T18:00:00+00:00,2025-03-22T22:00:00+00:00,North Village G pavilion courts,Student Organization Athletic Event,Athletics,"This tournament will take place on Saturday, March 22nd, from 2:00 - 6:00 pm on the North Village courts. Grill food and snacks will be provided! Participants need to bring their own paddles and extra balls. Paddles will not be provided. Teams of two (both in the same grade) will compete in either a Beginner or Intermediate league for a prize! Message Grace Finkel (finkgr7@furman.edu) or Hannah McCoy (mccoha7@furman.edu) with any questions!"
Chi Omega Mom's Weekend,Chi Omega,2025-03-22T14:00:00+00:00,2025-03-22T18:00:00+00:00,north village pavilion,Greek Life Event,Social,Morning yoga and pickleball for Chi Omega Mom's Weekend!
Chi Omega Mom's Weekend,Chi Omega,2025-03-22T14:00:00+00:00,2025-03-22T18:00:00+00:00,North Village Pavillion,,Social,Pickleball and crafts at G Pavilion
Ziplining Trip,Furman University Outdoor Club,2025-03-22T11:50:00+00:00,2025-03-22T18:00:00+00:00,The Gorge Ziplines,,Social,"Come embrace the spring foliage of the beautiful green river gorge from above. Be a bird for a day with officers Lanie and Eleanor. March 22, 2025 beginning at 7:50-2:00pm. There are six available spots register on rec.furman.edu."
Formal,Alpha Delta Pi,2025-03-21T22:00:00+00:00,2025-03-22T02:00:00+00:00,Historic Hampton House 1908,Greek Life Event,Social,"Our formal will be held from 6-10 pm on March 21, 2025, at the Historic Hampton House 1908."
Derby Days Closing Ceremony,"Sigma Chi, Iota Nu Chapter",2025-03-21T20:30:00+00:00,2025-03-21T23:00:00+00:00,G Field,Greek Life Event,Social,"Sigma Chi closing ceremony for Derby will take place on G Field. We will announce the winners of Derby Days, have a live band, and food."
Wage Justice Canvassing,Furman Young Democratic Socialists of America,2025-03-21T16:00:00+00:00,2025-03-21T17:30:00+00:00,Joseph Vaughn Plaza,,CommunityService,We will be canvassing for a living wage on Furman's campus!
RUF Large Group,Reformed University Fellowship,2025-03-21T00:00:00+00:00,2025-03-21T01:00:00+00:00,Garden Room,Religious,Spirituality,Our weekly worship meeting to sing and hear preaching from the Bible.
Sigma Chi Derby Days Day 4: PowderPuff,"Sigma Chi, Iota Nu Chapter",2025-03-20T21:00:00+00:00,2025-03-21T00:00:00+00:00,North Village Field 1,Greek Life Event,Fundraising,Day 4 of Derby Days will be a powderpuff football game where sororities compete against each other in flag football. There will be food and water available at these games.
FDT GALentines Open Practice!,Furman Dance Team,2025-02-14T01:00:00+00:00,2025-02-14T02:00:00+00:00,PAC Dance Studio (upstairs group fitness room),,Social,"Come dance with us! The Furman dance team welcomes anyone to our 2nd annual GALENTINES practice. Learn choreography, tricks, and other dance steps with the Furman Dance Team!"
Valentine Team Bingo!,Office of Student Involvement,2025-02-14T00:00:00+00:00,2025-02-14T01:30:00+00:00,TRONE CENTER ATRIUM,,Social,"Play bingo with your BESTIE or your SWEETHEART! Teams of two will compete to win AMAZING prizes, including: -retro record player -mini video projector -blankets, board games and candy SEE YOU THERE!"
Valentines Day with ACS,American Chemical Society,2025-02-14T00:00:00+00:00,2025-02-14T01:30:00+00:00,Trone Student Center,Social Programmatic; Special Interest,Social,Come have s'mores and hot cocoa with ACS on Thursday Feb 13th by the fire pit at Trone!
Black Essence: Celebration of Natural Hair,Afrikiya,2025-02-13T23:00:00+00:00,2025-02-14T00:30:00+00:00,Burgiss Theater,CLP; Diversity and Inclusion ,Cultural,"Black Essence: A Celebration of Natural Hair is an event designed to educate Furman students about the history and significance of natural hair, as well as provide practical methods for caring for and appreciating it. This event, hosted by Afrikiya, will feature renowned experts in the natural hair community, including Ebony Bomani representing Pattern Beauty and Angel Bradley of Earnestly Natural. Through engaging discussions, attendees will gain insights into the historical context of natural hair, the diversity of hair types and textures, and the benefits of embracing natural curls and coils."
Chi O Meeting,Chi Omega,2025-02-13T22:00:00+00:00,2025-02-13T23:00:00+00:00,Johns Hall 101,,GroupBusiness,Pre-Initiation Meeting
Sigma Nu Harvest Hope Service,Sigma Nu,2025-02-13T19:30:00+00:00,2025-02-13T21:30:00+00:00,Harvest Hope Food Bank,Community Service,CommunityService,Brothers will be working alongside professionals of Harvest Hope to sort and package food for those in need.
Pi Kappa Phi Mid-Week Executive Council Meeting,Pi Kappa Phi - Delta Chapter,2025-02-13T19:30:00+00:00,2025-02-13T20:30:00+00:00,Trone 208B,,GroupBusiness,A mid week meeting for the Executive Council to discuss business.
APO Bro Dinner,Alpha Phi Omega,2025-02-12T23:00:00+00:00,2025-02-13T00:00:00+00:00,DH,,Social,Have dinner with members of APO!
International Childhood Cancer Awareness Day,Delta Delta Delta,2025-02-12T16:30:00+00:00,2025-02-12T18:30:00+00:00,Joseph Vaughn Plaza,Greek Life Event,Fundraising,"Tri Delta members will promote International Childhood Cancer Awareness Day on February 12 by tabling outside the library, passing out bracelets, ribbons, and flowers to students and faculty on campus, and will fundraise online through social media. International Childhood Cancer Awareness Day is on February 15, but Tri Delta members will promote it on campus on February 12 instead. Any fundraising done or donations given will go to towards Tri Delta's national philanthropy, St. Jude!"
Dungeons & Dragons Club,Furman Dungeons and Dragons Club,2025-02-12T00:30:00+00:00,2025-02-12T03:30:00+00:00,Johns Hall 212,,Social,Welcome to our weekly Dungeons and Dragons meet-up. Play in sessions with your group or just come on by to hang out! New players welcome!
Program Council,Zeta Tau Alpha,2024-12-08T22:00:00+00:00,2024-12-08T23:00:00+00:00,Johns 101,,GroupBusiness,ZTA Program Council meeting.
Belonging Committee Meeting,Zeta Tau Alpha,2024-12-08T21:30:00+00:00,2024-12-08T22:30:00+00:00,Johns 101,,GroupBusiness,ZTA's Belonging Committee meeting.
Delta Gamma Exec meetings,Delta Gamma,2024-12-08T18:00:00+00:00,2024-12-08T19:00:00+00:00,J300,Greek Life Event,GroupBusiness,weekly exec meeting
Dintonation A Cappella Concert,Dintonation,2024-12-08T00:00:00+00:00,2024-12-08T00:30:00+00:00,Harper Hall,,Arts,"Please join us on Saturday, December 7th at 7:00pm for our magic-themed a cappella concert! Be sure to stay afterwards for the Bell Tower Boys' concert, which will immediately follow ours."
Holiday Decorating for RMHC,Alpha Delta Pi,2024-12-07T21:00:00+00:00,2024-12-07T23:00:00+00:00,RMHC carolinas,,CommunityService,Decorating the RMHC house for the holidays
Improv Show,Improv!able Cause Improvisational Comedy Troupe,2024-12-07T01:00:00+00:00,2024-12-07T02:00:00+00:00,Burgiss Theatre,,Social,This semesters last Improv Show!
Pi Kappa Phi Christmas Party,Pi Kappa Phi - Delta Chapter,2024-12-07T00:00:00+00:00,2024-12-07T01:30:00+00:00,Watkins Room,,Social,A Christmas Party in Watkins for Brothers and their dates.
Auditions for The Lightning Thief Musical,Furman University Pauper Players,2024-12-06T23:00:00+00:00,2024-12-07T00:30:00+00:00,DMB-104,,Arts,"Four days of auditions for Pauper Player's annual Spring production of The Lightening Thief: A Percy Jackson Musical! Auditions dates: 12/2, 12/3, 12/4, & 12/5 with a variety of times. Callbacks will be on 12/6. Be sure to sign up using the Signup Genius located in the bio of our Instagram and for more information about the process, come to the informational meeting on 11/22 in FUR-204!"
DG Study Hall,Delta Gamma,2024-12-06T20:30:00+00:00,2024-12-06T21:30:00+00:00,John’s 105,,ThoughtfulLearning,Study Hall for the sisters of Delta Gamma. We believe in cultivating educational interests and this is a way that we can provide a space for our sisters.
Sigma Chi Christmas Raffle Tabling,"Sigma Chi, Iota Nu Chapter",2024-12-06T16:15:00+00:00,2024-12-06T21:15:00+00:00,Trone Student Center Paddio,Greek Life Event,Fundraising,We will be tabling in front of Trone for our Christmas raffle.
Blood Drive,Furman University Responders,2024-11-12T15:00:00+00:00,2024-11-12T20:00:00+00:00,Trone: Watkins Room,Community Service,CommunityService,"Come help save lives by donating blood with the American Red Cross! Furman University Responders is partnering with the American Red Cross to host an on-campus blood drive from 10:00am - 3:00pm on Tuesday, November 12th in Trone Watkins Room. Giving blood is fast and easy, and one donation can save up to three lives. Snacks and drinks will be available for donors!"
Tri Delta Recruitment Workshop 3,Delta Delta Delta,2024-11-12T00:00:00+00:00,2024-11-12T02:00:00+00:00,PAC 114,,GroupBusiness,Workshops to prepare and familiarize the chapter with recruitment guidelines and expectations.
Beta Theta Pi Chapter Meeting,Beta Theta Pi,2024-11-12T00:00:00+00:00,2024-11-12T01:00:00+00:00,PYR-126 (Patrick Lecture Hall),Greek Life Event,GroupBusiness,"The Zeta Lambda Chapter of Beta Theta Pi will host a weekly meeting to conduct the duties and responsibilities of the chapter. Each member of the executive board will present a brief report of the progress in their area, then there is an open forum."
RLC Tabling,Residential Life Council,2024-11-11T17:00:00+00:00,2024-11-11T18:30:00+00:00,Joseph Vaughn Plaza,,Social,Tabling to promote our S'mores event!
Chapter,Zeta Tau Alpha,2024-11-04T00:00:00+00:00,2024-11-11T01:00:00+00:00,Johns 101,,GroupBusiness,ZTA Chapter Meeting.
Chapter,Zeta Tau Alpha,2024-11-11T00:00:00+00:00,2024-11-11T01:00:00+00:00,Johns 101,,GroupBusiness,ZTA Chapter Meeting.
Executive Committee Meeting,Zeta Tau Alpha,2024-11-10T23:00:00+00:00,2024-11-11T00:00:00+00:00,Johns 101,,GroupBusiness,Executive Committee Meeting.
Program Council,Zeta Tau Alpha,2024-11-10T22:00:00+00:00,2024-11-10T23:00:00+00:00,Johns 101,,GroupBusiness,ZTA Program Council meeting.
ADPi chapter meetings,Alpha Delta Pi,2024-11-10T22:00:00+00:00,2024-11-10T23:00:00+00:00,Furman 214,,GroupBusiness,Chapter Meeting
Delta Gamma Exec meetings,Delta Gamma,2024-11-10T18:00:00+00:00,2024-11-10T19:00:00+00:00,J300,Greek Life Event,GroupBusiness,weekly exec meeting
ZTA Bra Pong,Zeta Tau Alpha,2024-10-23T15:30:00+00:00,2024-10-23T18:30:00+00:00,Joseph Vaughn Plaza,,Fundraising,Compete against ZTA's in a game a bra pong! All funds raised will be donated to Breast Cancer Education and Awareness!
Wednesday Walks,Alpha Delta Pi,2024-10-23T11:45:00+00:00,2024-10-23T12:45:00+00:00,Furman Lake Trail,,Athletics,"Every Wednesday sisters are invited to go on a walk with one another at 7:45 am. We are planning to meet in North Village behind D. Running first thing in the morning can lead to spikes in cortisol causing headaches, high blood pressure, and mood changes. Morning walks have many health benefits such as regulating one's sleep schedule, improving one's mood and decreasing anxiety, increasing energy, increasing brain function, etc. We are using this as a stress-reliever for our sisters!"
Dungeons & Dragons Club,Furman Dungeons and Dragons Club,2024-10-22T23:30:00+00:00,2024-10-23T02:30:00+00:00,Johns Hall 212,Special Interest,Social,Welcome to our weekly Dungeons and Dragons meet-up. Play in sessions with your group or just come on by to hang out! Every Tuesday at 7:30 in Johns 212
Wesley Fellowship Weekly Gathering,Furman Wesley Fellowship,2024-10-22T23:45:00+00:00,2024-10-23T00:45:00+00:00,"Garden Room, Daniel Chapel",Religious,Spirituality,Each week we gathering in the Garden Room of Daniel Chapel for a time of fellowship and worship.
October Monthly Meeting,Alpha Epsilon Delta,2024-10-22T22:00:00+00:00,2024-10-22T23:00:00+00:00,Patrick Lecture Hall,Academic,ThoughtfulLearning,Speaker TBA
Diamond Dash - Alpha Delta Pi Philanthropy Week,Alpha Delta Pi,2024-10-22T17:00:00+00:00,2024-10-22T22:00:00+00:00,Trone Student Center Hill Courtyards 1 and 2,Greek Life Event,Fundraising,"On October 22nd, we will have the Diamond Dash. This event is a run/walk around Furman’s lake. We are hoping to have Alpha Delta Pi alumnae come out and participate along with Furman’s campus. This event will be fundraised either by ticket sales or crowd change. We are planning to have waivers for this day. Check in will start at 2 pm. We do not believe the event will take until 6 pm but wanted to give extra time for people to socialize and take pictures, while allowing plenty of time to clean up at the end."
Diamond Dash - Alpha Delta Pi Philanthropy Week,Alpha Delta Pi,2024-10-22T18:00:00+00:00,2024-10-22T19:00:00+00:00,Trone Student Center Hill Courtyards 1 and 2,Greek Life Event,Fundraising,"On Tuesday, we will have the Diamond Dash. This event is a run/walk around Furman’s lake. We are hoping to have alumnae come out and participate along with Furman’s campus. This event will be fundraised either by ticket sales or crowd change. We are planning to have waivers for this day. We have the space reserved from 1-6:30 pm; however, the event will start at 2 pm and go until people are done with their run/walk around the Furman lake."
RLC Tabling,Residential Life Council,2024-10-22T16:00:00+00:00,2024-10-22T18:00:00+00:00,Joseph Vaughn Plaza,Media Event,Social,RLC Tabling and Giveaway to raise awareness for our upcoming events
ZTA Krispy Kreme Sale,Zeta Tau Alpha,2024-10-22T15:30:00+00:00,2024-10-22T18:00:00+00:00,Joseph Vaughn Plaza,,Fundraising,Selling Krispy Kreme donuts to raise money for Breast Cancer Education and Awareness! All funds raised will be donated to charity.
Tri Delta Recruitment Workshop 1 & 2,Delta Delta Delta,2024-10-21T23:00:00+00:00,2024-10-22T01:00:00+00:00,PAC 114,,GroupBusiness,Workshops to prepare and familiarize the chapter with recruitment guidelines and expectations.
Bake Sale,Alpha Phi Omega,2024-09-23T15:30:00+00:00,2024-09-23T17:30:00+00:00,Trone Lower Lobby,,Fundraising,Buy homemade baked goods to support Alpha Phi Omega
Chapter,Zeta Tau Alpha,2024-09-22T23:00:00+00:00,2024-09-23T00:00:00+00:00,Johns 101,,GroupBusiness,ZTA Chapter Meeting.
Executive Committee Meeting,Zeta Tau Alpha,2024-09-22T22:00:00+00:00,2024-09-22T23:00:00+00:00,Johns 101,,GroupBusiness,Executive Committee Meeting.
ADPi chapter meetings,Alpha Delta Pi,2024-09-22T21:00:00+00:00,2024-09-22T22:00:00+00:00,Furman 214,,GroupBusiness,Chapter Meeting
Program Council,Zeta Tau Alpha,2024-09-22T21:00:00+00:00,2024-09-22T22:00:00+00:00,Johns 101,,GroupBusiness,ZTA Program Council meeting.
